SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1631093,22300569,"JAN 17, 2024",DET vs. MIN,L,36.0,13,22,0.591,3.5,6,0.667,2.0,2,1.0,0,4,4.0,6.0,1.0,0.0,2,4.0,32.0,8,1
22023,1631093,22300558,"JAN 15, 2024",DET @ WAS,W,32.0,9,18,0.5,2.0,7,0.286,4.0,7,0.571,1,6,7.0,6.0,0.0,2.5,5,0.5,24.0,3,1
22023,1631093,22300534,"JAN 12, 2024",DET vs. HOU,L,28.0,8,19,0.421,1.0,6,0.167,1.0,4,0.25,5,2,7.0,8.0,0.0,1.0,3,3.0,18.0,7,1
22023,1631093,22300519,"JAN 10, 2024",DET vs. SAS,L,30.0,7,18,0.389,2.0,10,0.2,3.0,5,0.6,0,3,3.0,5.0,2.0,2.0,1,0.5,19.0,-5,1
22023,1631093,22300512,"JAN 09, 2024",DET vs. SAC,L,33.0,7,17,0.412,2.0,9,0.222,6.0,8,0.75,5,0,5.0,6.0,2.0,0.0,4,4.0,22.0,-15,1
22023,1631093,22300502,"JAN 07, 2024",DET @ DEN,L,27.0,4,11,0.364,0.0,6,0.0,5.0,8,0.625,1,3,4.0,6.0,1.0,0.0,4,2.0,13.0,-16,1
22023,1631093,22300490,"JAN 05, 2024",DET @ GSW,L,24.0,5,10,0.5,2.0,5,0.4,0.0,0,0.0,2,2,4.0,3.0,0.0,1.0,4,4.5,12.0,-1,1
22023,1631093,22300474,"JAN 03, 2024",DET @ UTA,L,22.0,4,8,0.5,2.0,3,0.667,1.0,2,0.5,0,1,1.0,2.0,0.0,0.0,2,2.0,11.0,0,1
22023,1631093,22300453,"JAN 01, 2024",DET @ HOU,L,26.0,6,10,0.6,3.0,4,0.75,4.0,4,1.0,4,2,6.0,3.0,0.0,0.0,2,1.0,19.0,-19,1
22023,1631093,22300440,"DEC 30, 2023",DET vs. TOR,W,29.0,1,5,0.2,1.0,3,0.333,8.5,12,0.75,4,1,5.0,4.0,1.0,0.0,1,2.0,12.0,3,1
22023,1631093,22300421,"DEC 28, 2023",DET @ BOS,L,33.0,8,15,0.533,3.0,5,0.6,3.0,5,0.6,5,5,9.5,4.0,0.0,1.0,3,4.5,22.0,8,1
22023,1631093,22300406,"DEC 26, 2023",DET vs. BKN,L,28.0,3,12,0.25,0.0,2,0.0,3.0,6,0.5,2,1,3.0,4.0,2.5,1.0,1,4.5,9.0,12,1
22023,1631093,22300394,"DEC 23, 2023",DET @ BKN,L,35.0,6,11,0.545,3.0,6,0.5,8.0,10,0.8,0,6,6.0,7.0,0.0,2.0,3,4.0,23.0,6,1
22023,1631093,22300374,"DEC 21, 2023",DET vs. UTA,L,35.0,9,16,0.563,2.0,5,0.4,4.0,4,1.0,2,3,5.0,7.0,2.5,2.0,5,4.0,24.0,5,1
22023,1631093,22300352,"DEC 18, 2023",DET @ ATL,L,29.0,6,13,0.462,0.0,2,0.0,3.0,5,0.6,2,6,8.0,4.0,0.0,0.0,2,4.5,15.0,-12,1
22023,1631093,22300334,"DEC 16, 2023",DET @ MIL,L,28.0,5,17,0.294,2.0,6,0.333,1.0,2,0.5,1,3,4.0,2.0,1.0,1.0,1,0.5,13.0,-32,1
22023,1631093,22300327,"DEC 15, 2023",DET @ PHI,L,29.0,4,12,0.333,0.0,2,0.0,5.0,5,1.0,1,3,4.0,4.0,0.0,0.0,5,3.0,13.0,-6,1
22023,1631093,22300310,"DEC 13, 2023",DET vs. PHI,L,21.0,2,8,0.25,0.0,3,0.0,3.0,6,0.5,0,2,2.0,1.0,0.0,1.0,0,2.0,7.0,-21,1
22023,1631093,22300293,"DEC 11, 2023",DET vs. IND,L,34.0,7,15,0.467,0.0,3,0.0,4.0,4,1.0,1,2,3.0,2.0,1.0,0.0,2,2.0,18.0,-4,1
22023,1631093,22301217,"DEC 08, 2023",DET @ ORL,L,21.0,2,7,0.286,0.0,4,0.0,4.0,4,1.0,0,2,2.0,0.0,0.0,0.0,0,2.0,8.0,-14,1
22023,1631093,22301206,"DEC 06, 2023",DET vs. MEM,L,24.0,4,8,0.5,1.0,3,0.333,0.0,0,0.0,0,3,3.0,2.0,2.5,2.0,1,0.5,9.0,-10,1
22023,1631093,22300283,"DEC 02, 2023",DET vs. CLE,L,29.0,2,7,0.286,0.0,3,0.0,3.0,4,0.75,0,2,2.0,1.0,0.0,0.0,1,3.0,7.0,-1,1
22023,1631093,22300268,"NOV 30, 2023",DET @ NYK,L,13.0,1,2,0.5,1.0,1,0.9994999999999999,2.0,2,1.0,0,2,2.0,1.0,0.0,1.0,1,3.0,5.0,4,1
22023,1631093,22300258,"NOV 29, 2023",DET vs. LAL,L,19.0,1,6,0.167,1.0,2,0.5,4.0,4,1.0,0,1,1.0,3.0,1.0,0.0,1,4.5,7.0,-17,1
22023,1631093,22300253,"NOV 27, 2023",DET vs. WAS,L,33.0,6,12,0.5,2.0,3,0.667,1.0,2,0.5,2,5,7.0,7.0,1.0,1.0,3,3.0,15.0,2,1
