SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON
22022,1630595,22200023,"OCT 21, 2022",DET @ NYK,L,32,6,16,0.375,1,6,0.167,2,4,0.5,4,4,8,7,2,0,4,3,15,0,2022-23
22022,1630595,22200003,"OCT 19, 2022",DET vs. ORL,W,35,6,16,0.375,2,6,0.333,4,4,1.0,0,1,1,10,1,0,3,2,18,3,2022-23
22023,1630595,22301088,"APR 01, 2024",DET vs. MEM,L,34,13,22,0.591,3,4,0.75,7,8,0.875,1,3,4,8,2,1,4,1,36,6,2023-24
22023,1630595,22301065,"MAR 29, 2024",DET @ WAS,W,37,13,33,0.394,2,5,0.4,5,5,1.0,1,7,8,7,2,0,3,3,33,16,2023-24
22023,1630595,22301056,"MAR 27, 2024",DET @ MIN,L,29,11,23,0.478,3,8,0.375,7,8,0.875,0,1,1,2,1,0,1,0,32,-6,2023-24
22023,1630595,22301011,"MAR 22, 2024",DET vs. BOS,L,29,6,17,0.353,1,4,0.25,2,2,1.0,1,5,6,6,2,0,3,4,15,-27,2023-24
22023,1630595,22300997,"MAR 20, 2024",DET vs. IND,L,29,9,22,0.409,0,2,0.0,5,6,0.833,0,6,6,10,1,0,4,1,23,-19,2023-24
22023,1630595,22300977,"MAR 17, 2024",DET vs. MIA,L,32,8,19,0.421,1,6,0.167,0,0,0.0,0,4,4,9,1,1,3,2,17,-15,2023-24
22023,1630595,22300962,"MAR 15, 2024",DET vs. MIA,L,31,5,15,0.333,0,4,0.0,1,1,1.0,3,3,6,9,0,0,3,2,11,-13,2023-24
22023,1630595,22300946,"MAR 13, 2024",DET vs. TOR,W,28,8,20,0.4,2,5,0.4,1,2,0.5,0,3,3,6,1,0,3,2,19,7,2023-24
22023,1630595,22300933,"MAR 11, 2024",DET vs. CHA,W,32,8,20,0.4,2,10,0.2,4,4,1.0,0,6,6,8,1,0,2,1,22,20,2023-24
22023,1630595,22300919,"MAR 09, 2024",DET vs. DAL,L,32,11,21,0.524,3,7,0.429,8,8,1.0,3,6,9,10,0,0,5,2,33,-7,2023-24
22023,1630595,22300902,"MAR 07, 2024",DET vs. BKN,W,38,10,22,0.455,4,8,0.5,8,9,0.889,1,4,5,11,0,1,5,0,32,19,2023-24
22023,1630595,22300888,"MAR 05, 2024",DET @ MIA,L,34,8,20,0.4,4,8,0.5,3,3,1.0,1,3,4,8,0,0,3,2,23,-6,2023-24
22023,1630595,22300874,"MAR 03, 2024",DET @ ORL,L,23,4,12,0.333,1,4,0.25,0,0,0.0,0,2,2,7,1,0,1,2,9,-21,2023-24
22023,1630595,22300857,"MAR 01, 2024",DET vs. CLE,L,37,6,19,0.316,2,8,0.25,7,7,1.0,0,3,3,10,1,0,1,3,21,3,2023-24
22023,1630595,22300839,"FEB 27, 2024",DET @ CHI,W,36,9,13,0.692,3,5,0.6,5,7,0.714,1,4,5,5,0,1,3,0,26,23,2023-24
22023,1630595,22300828,"FEB 26, 2024",DET @ NYK,L,36,10,19,0.526,5,7,0.714,7,8,0.875,2,3,5,8,0,2,5,1,32,3,2023-24
22023,1630595,22300814,"FEB 24, 2024",DET vs. ORL,L,31,11,20,0.55,4,7,0.571,0,0,0.0,1,6,7,4,1,0,3,4,26,-1,2023-24
22023,1630595,22300793,"FEB 22, 2024",DET @ IND,L,30,13,21,0.619,4,9,0.444,0,0,0.0,0,5,5,8,1,0,3,4,30,10,2023-24
22023,1630595,22300787,"FEB 14, 2024",DET @ PHX,L,26,5,11,0.455,0,1,0.0,3,5,0.6,1,3,4,8,1,2,5,3,13,-17,2023-24
22023,1630595,22300776,"FEB 13, 2024",DET @ LAL,L,25,4,15,0.267,0,2,0.0,4,4,1.0,1,6,7,7,0,0,0,1,12,-17,2023-24
22023,1630595,22300749,"FEB 10, 2024",DET @ LAC,L,35,9,18,0.5,1,3,0.333,3,3,1.0,0,6,6,10,0,1,2,2,22,2,2023-24
22023,1630595,22300741,"FEB 08, 2024",DET @ POR,W,39,8,17,0.471,1,5,0.2,6,6,1.0,0,2,2,5,0,0,2,0,23,7,2023-24
